job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency,posted_date,deadline,job_description
"Java Developer (Mid/Senior), 20M – 45M VND","Backend Developer, IT - Phần mềm",2,Hà Nội,CÔNG TY TNHH SOFTROAD,onsite,20000000,45000000,VND,3/12/2026,27/03/2026,"Perform coding and debugging tasks.
Conduct self-testing using testing tools to ensure code quality.
Write design specifications that meet project requirements (Senior level).
Collaborate with Line Manager, Project Manager, and Technical Manager.
Perform other tasks as assigned."
SAP/ ERP Sales Executive (HN/HCM),"Kinh doanh phần mềm, IT - Phần mềm, B2B, Direct Sales",3,Hồ Chí Minh,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,onsite,,,,,30/04/2026,"JOB DESCRIPTION
Job Overview:
At Citek, we are looking for dynamic and results-driven sales professionals to join our team as Sales Executives, specializing in promoting and selling SAP S/4HANA enterprise solutions. Leveraging proven SAP solution-selling methodologies, you will identify high-value opportunities, build strategic relationships with senior enterprise stakeholders, and drive revenue growth in a competitive market.
Sales Executive  - Key Responsibilities:
•    Generate leads and develop new customer relationships within targeted sectors such as manufacturing, logistics, retail, etc.
•    Manage the entire sales cycle - from prospecting and qualification to closing - using disciplined, consultative selling techniques aligned with SAP practices.
•    Maintain accurate sales forecasting and pipeline management; report regularly on progress and opportunities.
•    Conduct in-depth needs analysis, crafting solution proposals based on SAP S/4HANA’s capabilities.
•    Coordinate with Consultant & technical teams and SAP partners to develop tailored solutions that meet client requirements, Deliver engaging presentations, product demos, and proof-of-concept sessions to C-level executives and decision-makers.
•    Build long-term client relationships to ensure satisfaction, retention, and upselling opportunities.
•    Monitor market trends and competition, providing strategic insights to refine sales strategies."
"Junior Fullstack Developer (NODE.JS + REACT) (Không Yêu Cầu Tiếng Anh , Nghỉ T7,CN) - Lương Upto 25 Triệu","Fullstack Developer, IT - Phần mềm",2,Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ ZENIFY,onsite,25000000,25000000,VND,3/2/2026,30/04/2026,"Chúng tôi đang xây dựng nền tảng SaaS Contact Center gồm:
Hệ thống Call Center (Realtime, phân phối cuộc gọi)
Live Chat Omnichannel
CRM & Dashboard phân tích dữ liệu realtime
Hệ thống phân quyền, workflow và automation
Đây là
product nội bộ dài hạn
, không outsource.
Nếu bạn muốn tham gia xây dựng một
hệ thống xử lý realtime, nhiều user
đồng thời và yêu cầu hiệu năng cao, phát triển theo
mô hình Agile - đây là vị trí dành cho bạn.
Bạn sẽ đóng vai trò chính trong việc:
Phát triển backend service với Node.js (TypeScript)
Xây dựng và tối ưu RESTful API
xử lý xác thực và phân quyền người dùng.
Thiết kế database (SQL/NoSQL)
và xử lý dữ liệu lớn.
Phát triển frontend dashboard, CRM, Call UI với React
Làm việc với hệ thống realtime
(WebSocket, queue system).
Làm việc với Redis, Queue system.
Tối ưu hiệu năng
hệ thống cả phía frontend và backend.
Tham gia code review và cải tiến kiến trúc
Hỗ trợ deploy, monitoring và cải tiến hệ thống
Tham gia thảo luận kiến trúc cùng team."
Chuyên Viên Phát Triển Phần Mềm,Software Engineer,3,Hà Nội,CÔNG TY CỔ PHẦN TẬP ĐOÀN MIK GROUP VIỆT NAM,onsite,,,,3/2/2026,2/4/2026,"Phát triển & lập trình hệ thống:
- Phân tích yêu cầu từ các bộ phận nghiệp vụ, tham gia xây dựng giải pháp công nghệ.
- Thiết kế, lập trình và triển khai các phần mềm, ứng dụng web, app hoặc module tích hợp.
- Tham gia phát triển, bảo trì và nâng cấp các hệ thống đang vận hành (ERP, HRM, CRM, DMS, Website…).
- Thực hiện unit test, fix bug và đảm bảo hiệu năng hệ thống.
Quản trị & hỗ trợ kỹ thuật:
- Phối hợp với bộ phận Hạ tầng – An ninh để đảm bảo vận hành an toàn, sao lưu và bảo mật dữ liệu.
- Hỗ trợ người dùng khi có lỗi phần mềm, lỗi kết nối hoặc yêu cầu điều chỉnh.
- Ghi nhận, báo cáo và đề xuất cải tiến quy trình, công nghệ mới.
Quản lý tài liệu & chuyển giao:
- Soạn thảo hướng dẫn sử dụng, tài liệu kỹ thuật và quy trình triển khai.
- Hỗ trợ đào tạo, chuyển giao ứng dụng cho người dùng nội bộ.
Thực hiện các công việc chuyên môn nghiệp vụ khác theo yêu cầu/chỉ đạo của Trưởng phòng hoặc Người được phân công quản lý"
Kỹ Sư Phát Triển Phần Mềm ( PHP - Vue.Js ),"Backend Developer, IT - Phần mềm",2,Hà Nội,TRUNG TÂM DỊCH VỤ DỮ LIỆU VÀ TRÍ TUỆ NHÂN TẠO VIETTEL - CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,,,,3/9/2026,30/04/2026,"Xây dựng hệ thống tương tác với lượng người dùng lớn.
Thống kê, phân tích và xử lý dữ liệu.
Xây dựng các module thống kê theo yêu cầu của khách hàng trên nền tảng công nghệ BigData.
Tổ chức thiết kế cơ sở dữ liệu NoSQL.
Phát triển và tối ưu hiệu năng cho các module xử lí dữ liệu lớn thời gian thực.
Tham gia nghiên cứu và tùy biến các công nghệ mới theo yêu cầu của dự án."
Thực Tập Sinh Công Nghệ Thông Tin Fulltime (Có Mộc + Lương),Software Engineer,,Hồ Chí Minh,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,onsite,4000000,10000000,VND,3/9/2026,3/4/2026,"Tiếp nhận thông tin khách hàng
Tư vấn triển khai phần mềm Website cho khách hàng
Tư vấn về bố cục, màu sắc, chức năng của trang Website
Lên ý tưởng, lên bảng Demo Website
Tương tác với bộ phận Kỹ Thuật giúp khách hàng có trang Website hoàn chỉnh
Test Website cho khách trước khi bàn giao
Hỗ trợ chăm sóc khách hàng
Các công việc khác theo sắp xếp của công ty"
Lập Trình Python (Odoo) / Python Dev (Junior) -,"Backend Developer, IT - Phần mềm",2,Hà Nội,Công ty cổ phần Đầu tư Bất động sản Hapulico,onsite,,,,3/9/2026,3/4/2026,"Tham gia xây dựng, phát triển sản phẩm ERP trên Odoo cho các dự án theo yêu cầu bằng Python;
Tìm hiểu các công nghệ mới, phát triển các ứng dụng trên nền tảng Odoo (OpenERP);
Tham gia vào quá trình khảo sát yêu cầu người dùng, thiết kế và review source code;
Báo cáo kết quả công việc với cấp quản lý."
Lập Trình Viên (.Net) - Không Yêu Cầu Kinh Nghiêm - Thu Nhập Up To 20 M++,Software Engineer,2,Hà Nội,Công ty cổ phần công nghệ và giải pháp trực tuyến Toàn Cầu,onsite,8000000,20000000,VND,3/2/2026,1/4/2026,"- Tham gia các dự án phần mềm của Công ty.
- Xây dựng kế hoạch và quản lý tiến độ lập trình theo kế hoạch.
- Thiết kế module chi tiết.
- Tham gia vào các dự án phát triển sản phẩm của Công ty trên nền tảng ASP.NET hoặc .NET core.
- Lập trình và tích hợp (Front-end và back-end).
- Xem xét code kiểm thử và thử nghiệm.
- Viết tài liệu mô tả chức năng phần mềm.
- Phối hợp với các bộ phận để phát hiện và xử lý lỗi hiệu quả.
- Bảo trì và hỗ trợ các vấn đề liên quan đến lập trình.
- Thực hiện các công việc khác theo sự phân công của lãnh đạo.
- Thời gian làm việc: 8h-17h00 (nghỉ chủ nhật, chiều thứ 7 và các ngày lễ)"
"Senior Java Web Developer ( Spring Boot, SQL )","Software Engineer, IT - Phần mềm",4,Hồ Chí Minh,TMA Solutions,onsite,,,,3/9/2026,30/06/2026,"Design, develop, and maintain high-performance RESTful APIs using Java and Spring Boot.
Drive design decisions and code reviews.
Optimize existing codebases and refactor for performance.
Write and maintain unit, integration, and performance tests.
Collaborate with stakeholders on technical requirements.
Collaborate with DevOps teams to deploy applications using CI/CD pipelines."
Back-End Java Developer,"Software Engineer, IT - Phần mềm",3,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,onsite,,,,3/2/2026,29/03/2026,"Làm việc trực tiếp với khách hàng và team dự án để xây dựng giải pháp kỹ thuật, thiết kế CSDL, viết tài liệu và triển khai tính năng.
Tham gia xây dựng kiến trúc microservice và các RESTful / event-driven API.
Phối hợp cùng đồng nghiệp và đối tác để đảm bảo chất lượng và tiến độ dự án.
Chủ động nghiên cứu, đề xuất sáng kiến công nghệ nhằm tối ưu hiệu năng hệ thống.
Có thể onsite tại công ty khách hàng (tùy thời điểm và tình hình dự án)
Tham gia phân tích, thiết kế và phát triển hệ thống backend theo quy trình Agile/Scrum."
